Date,Open,High,Low,Close,Volume,Market Cap
"Apr 27, 2021",54030.3,55416.96,53319.19,55033.12,49448222757,1028733359592
"Apr 28, 2021",55036.64,56227.21,53887.92,54824.7,48000572955,1024888208734
"Apr 29, 2021",54858.09,55115.84,52418.03,53555.11,46088929780,1001193634072
"Apr 30, 2021",53568.66,57900.72,53129.6,57750.18,52395931985,1079669884320
"May 01, 2021",57714.66,58448.34,57052.27,57828.05,42836427360,1081174515343
"May 02, 2021",57825.86,57902.59,56141.91,56631.08,38177405335,1058862005057
"May 03, 2021",56620.27,58973.31,56590.87,57200.29,51713139031,1069563935453
"May 04, 2021",57214.18,57214.18,53191.43,53333.54,68564706967,997324142593
"May 05, 2021",53252.16,57911.36,52969.06,57424.01,69241316747,1073873012867
"May 06, 2021",57441.31,58363.31,55382.51,56396.51,69523285106,1054714918675
"May 07, 2021",56413.95,58606.63,55321.85,57356.4,68434023376,1072727435210
"May 08, 2021",57352.77,59464.61,56975.21,58803.78,65382980634,1099863941004
"May 09, 2021",58877.39,59210.88,56482,58232.32,65906690347,1089244557676
"May 10, 2021",58250.87,59519.35,54071.46,55859.8,71776546298,1044927337818
"May 11, 2021",55847.24,56872.54,54608.65,56704.57,61308396325,1060790877192
"May 12, 2021",56714.53,57939.36,49150.53,49150.53,75215403907,919527847950
"May 13, 2021",49735.43,51330.84,46980.02,49716.19,96721152926,930161010060
"May 14, 2021",49682.98,51438.12,48868.58,49880.53,55737497453,933276901265
"May 15, 2021",49855.49,50639.67,46664.14,46760.19,59161047474,874931019742
"May 16, 2021",46716.64,49720.04,43963.35,46456.06,64047871555,869279076502
"May 17, 2021",46415.9,46623.56,42207.29,43537.51,74903638450,814701646509
"May 18, 2021",43488.06,45812.46,42367.83,42909.4,56187365084,802974346863
"May 19, 2021",42944.98,43546.12,30681.5,37002.44,126358098747,692452570147
"May 20, 2021",36753.67,42462.98,35050.62,40782.74,88281943359,763195929022
"May 21, 2021",40596.95,42172.17,33616.45,37304.69,82051616861,698108789817
"May 22, 2021",37371.03,38831.05,35383.68,37536.63,57377273240,702449253648
"May 23, 2021",37531.45,38289.22,31227.34,34770.58,78469274361,650686270744
"May 24, 2021",34700.36,39835.14,34551.08,38705.98,67359584098,724332072424
"May 25, 2021",38795.78,39776.35,36581.43,38402.22,56211915803,718829377408
"May 26, 2021",38392.62,40782.08,37905.83,39294.2,51346735160,735556411166
"May 27, 2021",39316.89,40379.62,37247.9,38436.97,43210968721,719538129128
"May 28, 2021",38507.08,38856.97,34779.04,35697.61,55200191952,668283930067
"May 29, 2021",35684.16,37234.5,33693.93,34616.07,45231013335,648061013208
"May 30, 2021",34607.41,36400.67,33520.74,35678.13,31646080921,667976638398
"May 31, 2021",35658.59,37468.25,34241.94,37332.85,39009847639,698990486185
"Jun 01, 2021",37293.79,37896.74,35787.09,36684.92,34639423297,686891021225
"Jun 02, 2021",36699.92,38231.34,35966.31,37575.18,33070867190,703599671425
"Jun 03, 2021",37599.41,39478.95,37243.97,39208.77,35460750427,734224332239
"Jun 04, 2021",39242.49,39242.49,35717.72,36894.41,41831090187,690915072093
"Jun 05, 2021",36880.16,37917.71,34900.41,35551.96,35959473399,665804639833
"Jun 06, 2021",35538.61,36436.42,35304.58,35862.38,28913440585,671652557855
"Jun 07, 2021",35835.27,36790.57,33480.64,33560.71,33683936663,628572961759
"Jun 08, 2021",33589.52,34017.39,31114.44,33472.63,49902050442,626954944879
"Jun 09, 2021",33416.98,37537.37,32475.87,37345.12,53972919008,699516138698
"Jun 10, 2021",37389.52,38334.33,35847.59,36702.6,43576032854,687509421226
"Jun 11, 2021",36697.03,37608.69,36044.45,37334.4,38699736985,699368729838
"Jun 12, 2021",37340.14,37408.93,34728.19,35552.52,37924228550,666018173753
"Jun 13, 2021",35555.79,39322.78,34864.11,39097.86,40669112838,732465659892
"Jun 14, 2021",39016.97,40978.36,38757.28,40218.48,43148914673,753471062534
